#
# Mice Data.
# Source: Morrison (1976). Multivariate Statistical Methods, McGraw-Hill.
#
factors a 2 / x * / y * / z * //
# label a "Treatment"
list
1 1.21 0.61 0.70
1 0.92 0.43 0.71
1 0.80 0.43 0.71
1 0.85 0.48 0.68
1 0.98 0.42 0.71
1 1.15 0.52 0.72
1 1.10 0.50 0.75
1 1.02 0.53 0.70
1 1.18 0.45 0.70
1 1.09 0.40 0.69
2 1.40 0.50 0.71
2 1.17 0.39 0.69
2 1.23 0.44 0.70
2 1.19 0.37 0.72
2 1.38 0.42 0.71
2 1.17 0.45 0.70
2 1.31 0.41 0.70
2 1.30 0.47 0.67
2 1.22 0.29 0.68
2 1.00 0.30 0.70
2 1.12 0.27 0.72
2 1.09 0.35 0.73 ;
